file,variable,dtype,total_rows,null_count,null_pct,unique_values,min,max,mean,median,special_missing_codes
CBC_L.xpt,LBXMC,float64,8727,1134,12.99,81,27.8,40.5,33.735,33.8,None
CBC_L.xpt,LBXMCHSI,float64,8727,1134,12.99,193,15.6,41.1,29.476,29.7,None
CBC_L.xpt,LBXRDW,float64,8727,1134,12.99,114,11.2,37.5,13.819,13.5,None
CBC_L.xpt,LBXPLTSI,float64,8727,1134,12.99,440,46.0,787.0,266.398,259.0,99:1
CBC_L.xpt,LBXMPSI,float64,8727,1134,12.99,67,5.5,12.9,8.089,8.0,7:195; 9:178
CBC_L.xpt,LBXNRBC,float64,8727,1145,13.12,13,0.0,4.0,0.074,0.1,None
DEMO_L.xpt,SEQN,int64,11933,0,0.0,11933,130378.0,142310.0,136344.0,136344.0,None
DEMO_L.xpt,SDDSRVYR,float64,11933,0,0.0,1,12.0,12.0,12.0,12.0,None
DEMO_L.xpt,RIDSTATR,float64,11933,0,0.0,2,1.0,2.0,1.742,2.0,None
DEMO_L.xpt,RIAGENDR,float64,11933,0,0.0,2,1.0,2.0,1.533,2.0,None
DEMO_L.xpt,RIDAGEYR,float64,11933,0,0.0,81,0.0,80.0,38.318,37.0,7:204; 9:223; 77:84
DEMO_L.xpt,RIDAGEMN,float64,11933,11556,96.84,25,0.0,24.0,11.629,11.0,7:21; 9:13
DEMO_L.xpt,RIDRETH1,float64,11933,0,0.0,5,1.0,5.0,3.105,3.0,None
DEMO_L.xpt,RIDRETH3,float64,11933,0,0.0,6,1.0,7.0,3.321,3.0,7:948
DEMO_L.xpt,RIDEXMON,float64,11933,3073,25.75,2,1.0,2.0,1.52,2.0,None
DEMO_L.xpt,RIDEXAGM,float64,11933,9146,76.64,240,0.0,239.0,121.909,122.0,7:21; 9:12; 77:6; 99:13
DEMO_L.xpt,DMQMILIZ,float64,11933,3632,30.44,3,1.0,7.0,1.917,2.0,7:1
DEMO_L.xpt,DMDBORN4,float64,11933,19,0.16,2,1.0,2.0,1.157,1.0,None
DEMO_L.xpt,DMDYRUSR,float64,11933,10058,84.29,8,1.0,99.0,7.335,6.0,77:13; 99:46
DEMO_L.xpt,DMDEDUC2,float64,11933,4139,34.69,6,1.0,9.0,3.805,4.0,9:11
DEMO_L.xpt,DMDMARTZ,float64,11933,4141,34.7,5,1.0,99.0,1.778,1.0,77:4; 99:5
DEMO_L.xpt,RIDEXPRG,float64,11933,10430,87.4,3,1.0,3.0,2.237,2.0,None
DEMO_L.xpt,DMDHHSIZ,float64,11933,0,0.0,7,1.0,7.0,3.243,3.0,7:624
DEMO_L.xpt,DMDHRGND,float64,11933,7818,65.52,2,1.0,2.0,1.564,2.0,None
DEMO_L.xpt,DMDHRAGZ,float64,11933,7809,65.44,4,1.0,4.0,2.54,2.0,None
DEMO_L.xpt,DMDHREDZ,float64,11933,8187,68.61,3,1.0,3.0,2.171,2.0,None
DEMO_L.xpt,DMDHRMAZ,float64,11933,7913,66.31,3,1.0,3.0,1.381,1.0,None
DEMO_L.xpt,DMDHSEDZ,float64,11933,9806,82.18,3,1.0,3.0,2.275,2.0,None
DEMO_L.xpt,WTINT2YR,float64,11933,0,0.0,9821,4584.463,170968.343,27404.136,21670.186,None
DEMO_L.xpt,WTMEC2YR,float64,11933,0,0.0,8138,0.0,227108.297,27404.136,21717.849,None
DEMO_L.xpt,SDMVSTRA,float64,11933,0,0.0,15,173.0,187.0,179.918,180.0,None
DEMO_L.xpt,SDMVPSU,float64,11933,0,0.0,2,1.0,2.0,1.492,1.0,None
DEMO_L.xpt,INDFMPIR,float64,11933,2041,17.1,471,0.0,5.0,2.708,2.5,None
DIQ_L.xpt,SEQN,int64,11744,0,0.0,11744,130378.0,142310.0,136347.896,136354.5,None
DIQ_L.xpt,DIQ010,float64,11744,4,0.03,4,1.0,9.0,1.934,2.0,9:4
DIQ_L.xpt,DID040,float64,11744,10663,90.8,76,1.0,999.0,70.017,50.0,7:3; 9:2; 77:1; 999:24
DIQ_L.xpt,DIQ160,float64,11744,3722,31.69,3,1.0,9.0,1.899,2.0,9:15
DIQ_L.xpt,DIQ180,float64,11744,3440,29.29,4,1.0,9.0,1.819,2.0,7:2; 9:265
DIQ_L.xpt,DIQ050,float64,11744,10663,90.8,2,1.0,2.0,1.682,2.0,None
DIQ_L.xpt,DID060,float64,11744,11401,97.08,42,1.0,999.0,40.318,9.0,7:20; 9:2; 999:8
DIQ_L.xpt,DIQ060U,float64,11744,11412,97.17,2,1.0,2.0,1.895,2.0,None
DIQ_L.xpt,DIQ070,float64,11744,9463,80.58,3,1.0,9.0,1.633,2.0,9:7
GHB_L.xpt,SEQN,int64,7199,0,0.0,7199,130378.0,142310.0,136328.408,136366.0,None
GHB_L.xpt,WTPH2YR,float64,7199,0,0.0,6600,0.0,241728.857,38893.262,31031.846,None
GHB_L.xpt,LBXGH,float64,7199,484,6.72,101,3.2,17.1,5.709,5.5,7:28; 9:1
GLU_L.xpt,SEQN,int64,3996,0,0.0,3996,130378.0,142309.0,136384.084,136412.5,None
GLU_L.xpt,WTSAF2YR,float64,3996,0,0.0,3315,0.0,561922.43,70068.217,56643.424,None
GLU_L.xpt,LBXGLU,float64,3996,324,8.11,199,59.0,561.0,107.885,100.0,77:8; 99:131
GLU_L.xpt,LBDGLUSI,float64,3996,324,8.11,182,3.28,31.1,5.989,5.55,None
HDL_L.xpt,SEQN,int64,8068,0,0.0,8068,130378.0,142310.0,136360.137,136391.0,None
HDL_L.xpt,WTPH2YR,float64,8068,0,0.0,7138,0.0,241728.857,37744.396,30264.727,None
HDL_L.xpt,LBDHDD,float64,8068,1178,14.6,102,22.0,159.0,54.113,52.0,77:31; 99:5
HDL_L.xpt,LBDHDDSI,float64,8068,1178,14.6,102,0.57,4.11,1.4,1.34,None
MCQ_L.xpt,SEQN,int64,11744,0,0.0,11744,130378.0,142310.0,136347.896,136354.5,None
MCQ_L.xpt,MCQ010,float64,11744,1,0.01,3,1.0,9.0,1.843,2.0,9:15
MCQ_L.xpt,MCQ035,float64,11744,9798,83.43,3,1.0,9.0,1.507,1.0,9:37
MCQ_L.xpt,MCQ040,float64,11744,10525,89.62,3,1.0,9.0,1.538,2.0,9:4
MCQ_L.xpt,MCQ050,float64,11744,10525,89.62,3,1.0,9.0,1.879,2.0,9:2
